X1,X2
C-Lake-CTRL2,0
C-Lake-Samp2a,377541
C-Lake-Samp2b,0
C-Lake-Samp2c,0
C-RN-CTRL3,0
C-RN-Samp3a,186137
C-RN-Samp3b,156296
C-RN-Samp3c,2
C-RS-S1-CTRL1,3
C-RS-S1-Samp1a,397617
C-RS-S1-Samp1b,7
C-RS-S1-Samp1c,58
EB-LM,0
Neg-Chocorua,21
Ostrich-Chocorua,7462
Pond-Joann-1-5,380179
Pond-Joann-straight,433364
C-XB-90min,0
Control-Below-Dam-90min,0
Control-Bridge-90min,0
Control-Dam-90min,0
Control-River-Delta-90min,0
Control-River-North-90min,2
HDAR-XB-3-90min,0
sample-1-Below-Dam-90min,0
sample-1-Bridge-90min,7990
sample-1-Dam-90min,0
sample-1-River-Delta-90min,6947
sample-1-River-North-90min,0
sample-2-Below-Dam-90min,0
sample-2-Bridge-90min,0
sample-2-Dam-90min,9999
sample-2-River-Delta-90min,14871
sample-2-River-North-90min,17651
sample-3-Below-Dam-90min,0
sample-3-Bridge-90min,5031
sample-3-Dam-90min,0
sample-3-River-Delta-90min,20792
sample-3-River-North-90min,9011
HDAR-XB-2-90min,0
HDAR-XB-1-90min,0
C-XB-overnight,0
Control-Below-Dam-overnight,0
Control-Bridge-overnight,0
Control-Dam-overnight,0
Control-River-Delta-overnight,0
Control-River-North-overnight,0
HDAR-XB-1-overnight,0
Neg-overnight,0
Ostrich-overnight,0
sample-1-Below-Dam-overnight,20399
sample-1-Bridge-overnight,12905
sample-1-Dam-overnight,0
sample-1-River-Delta-overnight,3794
sample-1-River-North-overnight,19335
sample-2-Below-Dam-overnight,0
sample-2-Bridge-overnight,2714
sample-2-Dam-overnight,0
sample-2-River-Delta-overnight,9571
sample-3-Below-Dam-overnight,0
sample-3-Bridge-overnight,0
sample-3-Dam-overnight,0
sample-3-River-Delta-overnight,24180
sample-3-River-North-overnight,18438
